S. No.,F.Y.,Location,Month,PO No.,PO STATUS,Type,PO Value,Variation,Revised PO Value,Certified Value,Vendor Debit / Credit,Final Certified Value(K-L),Project,Vendor Name,Vendor Code,Category,Amount Paid,Final Payables,Total Invoice value,Credit Note/ Debit Note,Final Invoice value,Invoice Needed as per Certification,Invoice Needed as per Paid Amount,Advance,RA 1,RA 2,RA 3,RA 4,RA 5,RA 6,RA 7,RA 8,RA9,RA10,Final,TDS,PO vs Amount Paid %,Invoice No.1,Invoice Date1,Inv_Amount1,Invoice No._2,Invoice Date_2,Inv_Amount_2,Invoice No. _3,Invoice Date_3,Inv_Amount_3,Invoice No. _4,Invoice Date. _4,Inv_Amount_4,Invoice No. _5,Invoice Date. _5,Inv_Amount_5,Invoice No. _6,Invoice Date. _6,Inv_Amount_6,Invoice No. _7,Invoice Date. _7,Inv_Amount_7,Max_Inv_Date,Reason,Debit Note Status,Remarks,,Project Code
64,25-26,,Aug,LAIPL/PO/25-26/050,Open,,"129,800",0,"129,800","129,800",,"129,800",UBITECH,Vasudev Enterprises,VEN-013,,"79,178","50,622","84,370","-45,430","129,800","45,430","-5,192","50,000",,"29,178",,,,,,,,,,0,61%,,,84370,,,,,,,,,,,,,,,,,,,,,,,,#REF!
65,25-26,,Aug,LAIPL/PO/25-26/051,Partially Billed,,"2,867,084",0,"2,867,084","2,867,084",,"2,867,084",COOFFIZ NOIDA,Interio Mart,VEN-012,,"2,710,236","156,848",0,,0,"2,867,084","2,710,236","650,000","561,973","650,000","489,153","172,600","186,510",,,,,,,,95%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
66,25-26,,Aug,LAIPL/PO/25-26/052,Partially Billed,,"5,251,002",0,"5,251,002","5,251,002",,"5,251,002",COOFFIZ NOIDA,Nirman Power,VEN-048,,"4,200,802","1,050,200",0,,0,"5,251,002","4,200,802","50,000","1,014,250","1,321,452","650,000","700,000","439,150",,,,,,,"25,950",80%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
67,25-26,,Aug,LAIPL/PO/25-26/053,Open,,"15,340",0,"15,340","15,340",,"15,340",Scottish School,Flush Door India,VEN-046,,0,"15,340",0,,0,"15,340",0,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
68,25-26,,Aug,LAIPL/PO/25-26/054,Open,,"348,053",0,"348,053","348,053",,"348,053",Ubitech,R Cube Project,VEN-006,,"101,010","247,043",0,,0,"348,053","101,010","100,000",,,,,,,,,,,,"1,010",29%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
69,25-26,,Sep,LAIPL/PO/25-26/055,Open,,"95,448",0,"95,448","95,448",,"95,448",UBITECH,Surami Impex Private Limited Faridabad,VEN-049,,"95,448",0,0,,0,"95,448","95,448","95,448",,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
70,25-26,,Sep,LAIPL/PO/25-26/056,Open,,"1,900,980",0,"1,900,980","1,900,980",,"1,900,980",COOFFIZ,S K ALUMINIUM & GLASS,VEN-050,,"1,823,173","77,807",0,,0,"1,900,980","1,823,173","475,245","398,722","250,000","399,206","300,000",,,,,,,,,96%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
71,25-26,,Sep,LAIPL/PO/25-26/057,Open,,"70,556",0,"70,556","70,556",,"70,556",UBITECH,Interio Mart,VEN-012,,"67,028","3,528",0,,0,"70,556","67,028",,,"67,028",,,,,,,,,,,95%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
72,25-26,,Sep,LAIPL/PO/25-26/058,Billed,,"3,835",0,"3,835","3,835",,"3,835",INDMONEY,Interio Mart,VEN-012,,"3,835",0,0,,0,"3,835","3,835","3,835",,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
73,25-26,,Sep,LAIPL/PO/25-26/059,Open,,"10,000",0,"10,000","10,000",,"10,000",Ubitech,Joginder,VEN-051,,"10,000",0,0,,0,"10,000","10,000","4,950","5,000",,,,,,,,,,,50,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
74,25-26,,Oct,LAIPL/PO/25-26/060,Open,,"748,592",0,"748,592","748,592",,"748,592",COOFFIZ,Magnifyde Floorings Private Limited,VEN-052,,"675,692","72,900",0,,0,"748,592","675,692","158,600","217,092","300,000",,,,,,,,,,,90%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
75,25-26,,Oct,LAIPL/PO/25-26/061,Open,,"209,249",0,"209,249","209,249",,"209,249",Co-offiz Noida,Lites & Controls,VEN-053,,"209,249",0,0,,0,"209,249","209,249","177,330","31,919",,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
76,25-26,,Nov,LAIPL/PO/25-26/062,Billed,,"273,760",0,"273,760","273,760",,"273,760",Cooffiz Noida,PAN GLOBAL ENERGY,VEN-054,,"269,120","4,640",0,,0,"273,760","269,120",,,"129,920","136,880",,,,,,,,,"2,320",98%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
77,25-26,,Nov,LAIPL/PO/25-26/063,Open,,"424,800",0,"424,800","424,800",,"424,800",Cooffiz Noida,VISTA FURNISHING LIMITED,VEN-055,,"346,522","78,278",0,,0,"424,800","346,522","180,000","166,522",,,,,,,,,,,,82%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
78,25-26,,Nov,LAIPL/PO/25-26/064,Open,,"9,558,000",0,"9,558,000","9,558,000",,"9,558,000",Cooffiz Noida,SARA HVAC SYSTEMS,VEN-065,,"8,803,275","754,725",0,,0,"9,558,000","8,803,275","1,260,000","5,000,000","843,275","1,000,000","700,000",,,,,,,,,92%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
79,25-26,,Nov,LAIPL/PO/25-26/065,Partially Billed,,"920,277",0,"920,277","920,277",,"920,277",Cooffiz Noida,Euronics Industries Pvt Ltd,VEN-057,,"920,277",0,0,,0,"920,277","920,277","920,277",,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
80,25-26,,Nov,LAIPL/PO/25-26/067,Open,,"763,786",0,"763,786","763,786",,"763,786",Co-offiz Noida,BREEZ INC,VEN-059,,"757,313","6,473",0,,0,"763,786","757,313","568,899","188,414",,,,,,,,,,,,99%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
81,25-26,,Nov,LAIPL/PO/25-26/068,Partially Billed,,"591,534",0,"591,534","591,534",,"591,534",Co-offiz Noida,SPARKIN SUNLIT PRIVATE LIMITED,VEN-060,,"591,534",0,0,,0,"591,534","591,534",,,"177,460","414,074",,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
82,25-26,,Nov,LAIPL/PO/25-26/070,Open,,"944,000",0,"944,000","944,000",,"944,000",Denton Link Legal,Ankur Associates,VEN-063,,"944,000",0,0,,0,"944,000","944,000","184,800","226,000","330,000","187,200",,,,,,,,,"16,000",100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
83,25-26,,Nov,LAIPL/PO/25-26/071,Partially Billed,,"6,814,500",0,"6,814,500","6,814,500",,"6,814,500",Denton Link Legal,Waves Enterprises,VEN-047,,"6,451,600","362,900",0,,0,"6,814,500","6,451,600",,,"6,451,600",,,,,,,,,,,95%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
84,25-26,,Nov,LAIPL/PO/25-26/072,Open,,"26,550",0,"26,550","26,550",,"26,550",Co-offiz Noida,Aarvi Glass Scratch Solutions Services,VEN-064,,"10,000","16,550",0,,0,"26,550","10,000","10,000",,,,,,,,,,,,,38%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
85,25-26,,Nov,LAIPL/PO/25-26/073,Open,,"453,120",0,"453,120","453,120",,"453,120",Holy Child School,Interio Mart,VEN-012,,"453,120",0,0,,0,"453,120","453,120","226,560",,"226,560",,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
86,25-26,,Jun,LAIPL/PO/25-26/075,Open,,"636,551",0,"636,551","636,551",,"636,551",Cooffiz Noida,Interio Mart,VEN-012,,"568,410","68,141",0,,0,"636,551","568,410","269,250",,"299,160",,,,,,,,,,,89%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
87,25-26,,Nov,LAIPL/PO/25-26/076,Open,,"143,239",0,"143,239","143,239",,"143,239",Cooffiz Noida,HINDUSTAN SANITARY & TILES EMPORIUM,VEN-066,,"143,239",0,0,,0,"143,239","143,239","143,239",,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
88,25-26,,Nov,LAIPL/PO/25-26/077,Open,,"51,923",0,"51,923","51,923",,"51,923",Cooffiz Noida,Deepak Marbles LLP,VEN-072,,"103,846","-51,923",0,,0,"51,923","103,846","51,923","51,923",,,,,,,,,,,,200%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
89,25-26,,Dec,LAIPL/PO/25-26/078,Open,,"60,000",0,"60,000","60,000",,"60,000",Holy Child School,Mr. Md Irfan Ahmad,VEN-040,,"59,400",600,0,,0,"60,000","59,400",,,"59,400",,,,,,,,,,,99%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
90,25-26,,Dec,LAIPL/PO/25-26/079,Partially Billed,,"6,903,000",0,"6,903,000","6,903,000",,"6,903,000",SRF School,Waves Enterprises,VEN-047,,"6,321,500","581,500",0,,0,"6,903,000","6,321,500",,,"5,141,800","500,000","200,000","421,200",,,,,,,"58,500",92%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
91,25-26,,Dec,LAIPL/PO/25-26/080,Open,,"2,081,579",0,"2,081,579","2,081,579",,"2,081,579",Co-offiz Noida,BREEZ INC,VEN-059,,"2,063,939","17,640",0,,0,"2,081,579","2,063,939","800,000","482,613","541,284","240,042",,,,,,,,,,99%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
92,25-26,,Dec,LAIPL/PO/25-26/081,Billed,,"1,160,176",0,"1,160,176","1,160,176",,"1,160,176",DENTON LINK LEGAL,TIRUPATI WORK SPACE SOLUTIONS PVT LTD.,VEN-022,,"1,160,176",0,0,,0,"1,160,176","1,160,176",,"73,142","1,087,034",,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
93,25-26,,Dec,LAIPL/PO/25-26/082,Billed,,"220,868",0,"220,868","220,868",,"220,868",Cooffiz Noida,RAJU STONES,VEN-068,,"220,868",0,0,,0,"220,868","220,868",,,"220,868",,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
94,25-26,,Dec,LAIPL/PO/25-26/083,Billed,,"147,397",0,"147,397","147,397",,"147,397",Cooffiz Noida,RAJU MARBLE PRIVATE LIMITED,VEN-069,,"147,397",0,0,,0,"147,397","147,397",,,"147,397",,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
95,25-26,,Dec,LAIPL/PO/25-26/084,Partially Billed,,"450,288",0,"450,288","450,288",,"450,288",Cooffiz Noida,D2 INTERIORS,VEN-070,,"407,465","42,823",0,,0,"450,288","407,465","199,753",,"205,695",,,,,,,,,,"2,017",90%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
96,25-26,,Dec,LAIPL/PO/25-26/085,Open,,"357,546",0,"357,546","357,546",,"357,546",Cooffiz Noida,Drapes,VEN-071,,"178,773","178,773",0,,0,"357,546","178,773",,,"178,773",,,,,,,,,,,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
97,25-26,,Jan,LAIPL/PO/25-26/086,Partially Billed,,"135,796",0,"135,796","135,796",,"135,796",Co-offiz Noida,Dolphy India Private Limited,VEN-073,,"130,499","5,297",0,,0,"135,796","130,499","130,499",,,,,,,,,,,,,96%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
98,25-26,,Jan,LAIPL/PO/25-26/087,Open,,"47,808",0,"47,808","47,808",,"47,808",Cooffiz Noida,Euronics Industries Pvt Ltd,VEN-057,,"47,808",0,0,,0,"47,808","47,808","47,808",,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
99,25-26,,Jan,LAIPL/PO/25-26/088,Billed,,"11,080",0,"11,080","11,080",,"11,080",Luxeworx Head Office,FANTASY ENTERPRISES,VEN-020,,"11,080",0,0,,0,"11,080","11,080",,,"11,080",,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
100,25-26,,Jan,LAIPL/PO/25-26/089,Open,,"142,140",0,"142,140","142,140",,"142,140",Co-offiz - Noida,Taps And Tiles Corner,VEN-074,,"142,140",0,0,,0,"142,140","142,140","142,140",,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
101,25-26,,Jan,LAIPL/PO/25-26/090,Open,,"95,760",0,"95,760","95,760",,"95,760",Co-offiz,Magnifyde Floorings Private Limited,VEN-052,,"47,880","47,880",0,,0,"95,760","47,880",,"46,922",,,,,,,,,,,958,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
102,25-26,,Jan,LAIPL/PO/25-26/091,Open,,"9,414,917",0,"9,414,917","9,414,917",,"9,414,917",Co-offiz Noida,BREEZ INC,VEN-059,,"8,629,836","785,081",0,,0,"9,414,917","8,629,836","1,500,000","2,348,200","1,610,092","1,095,360","1,176,184","900,000",,,,,,,,92%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
103,25-26,,Jan,LAIPL/PO/25-26/092,Open,,"413,000",0,"413,000","413,000",,"413,000",Co-offiz,Sanjeevani Art & Crafts,VEN-075,,0,"413,000",0,,0,"413,000",0,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
104,25-26,,Mar,LAIPL/PO/25-26/093,Open,,"3,227,662",0,"3,227,662","3,227,662",,"3,227,662",Cooffiz - 2nd & 3rd Floor,Waves Enterprises,VEN-047,,"1,986,132","1,241,530",0,,0,"3,227,662","1,986,132","1,000,000",,"500,000",,,"352,800",,,,,,,"133,332",62%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
105,25-26,,Jan,LAIPL/PO/25-26/094,Billed,,"342,908",0,"342,908","342,908",,"342,908",Denton,MR CHAIR,VEN-026,,"342,908",0,0,,0,"342,908","342,908",,,"342,908",,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
106,25-26,,Jan,LAIPL/PO/25-26/095,Billed,,"239,540",0,"239,540","239,540",,"239,540",Denton,GEEKEN SEATING COLLECTION PVT LTD,VEN-076,,"239,540",0,0,,0,"239,540","239,540","239,540",,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
107,25-26,,Jan,LAIPL/PO/25-26/096,Open,,"211,739",0,"211,739","211,739",,"211,739",Denton,SPARKIN SUNLIT PRIVATE LIMITED,VEN-060,,"148,218","63,521",0,,0,"211,739","148,218","84,696","63,522",,,,,,,,,,,,70%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
108,25-26,,Jan,LAIPL/PO/25-26/097,Billed,,"14,704",0,"14,704","14,704",,"14,704",Denton,Interio Mart,VEN-012,,"14,704",0,0,,0,"14,704","14,704","14,704",,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
109,25-26,,Jan,LAIPL/PO/25-26/098,Partially Billed,,"234,556",0,"234,556","234,556",,"234,556",Denton,Magnifyde Floorings Private Limited,VEN-052,,0,"234,556",0,,0,"234,556",0,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
110,25-26,,Jan,LAIPL/PO/25-26/099,Open,,"73,073",0,"73,073","73,073",,"73,073",Cooffiz Noida,Vihaan Enterprises,VEN-062,,"70,073","3,000",0,,0,"73,073","70,073",,"70,073",,,,,,,,,,,,96%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
111,25-26,,Jan,LAIPL/PO/25-26/100,Open,,"767,000",0,"767,000","767,000",,"767,000",Denton,Comfort Aircon,VEN-015,,"666,843","100,157",0,,0,"767,000","666,843","200,000","150,000","200,000","100,000",,,,,,,,,"16,843",87%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
112,25-26,,Jan,LAIPL/PO/25-26/101,Open,,"198,181",0,"198,181","198,181",,"198,181",Co-offiz,SPARKIN SUNLIT PRIVATE LIMITED,VEN-060,,0,"198,181",0,,0,"198,181",0,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
113,25-26,,Jan,LAIPL/PO/25-26/102,Open,,"237,298",0,"237,298","237,298",,"237,298",Co-offiz,VEEVANS DZYN,VEN-033,,"213,568","23,730",0,,0,"237,298","213,568","94,919","118,649",,,,,,,,,,,,90%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
114,25-26,,Jan,LAIPL/PO/25-26/103,Billed,,"207,444",0,"207,444","207,444",,"207,444",Denton,MR CHAIR,VEN-026,,"207,444",0,0,,0,"207,444","207,444",,,"207,444",,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
115,25-26,,Feb,LAIPL/PO/25-26/104,Billed,,"46,492",0,"46,492","46,492",,"46,492",Denton,MKASA DECOR LLP,VEN-077,,"46,492",0,0,,0,"46,492","46,492",,"46,492",,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
116,25-26,,Feb,LAIPL/PO/25-26/105,Open,,"226,477",0,"226,477","226,477",,"226,477",Co-offiz,MKASA DECOR LLP,VEN-077,,"166,740","59,737",0,,0,"226,477","166,740",,"166,740",,,,,,,,,,,,74%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
117,25-26,,Feb,LAIPL/PO/25-26/106,Open,,"2,299,796",0,"2,299,796","2,299,796",,"2,299,796",SRF School - Bharuch,IMPERIAL INNOVATION,VEN-078,,"1,986,714","313,082",0,,0,"2,299,796","1,986,714","1,986,714",,,,,,,,,,,,,86%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
118,25-26,,Feb,LAIPL/PO/25-26/107,Open,,"23,600",0,"23,600","23,600",,"23,600",,BALFRE HOSPITALITY AND FACILITY MANAGEMENT LLP,VEN-032,,0,"23,600",0,,0,"23,600",0,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
119,25-26,,Feb,LAIPL/PO/25-26/108,Billed,,"9,440",0,"9,440","9,440",,"9,440",Denton,TIRUPATI WORK SPACE SOLUTIONS PVT LTD.,VEN-022,,"9,440",0,0,,0,"9,440","9,440","9,440",,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
120,25-26,,Feb,LAIPL/PO/25-26/109,Billed,,"29,913",0,"29,913","29,913",,"29,913",Denton,MR CHAIR,VEN-026,,"29,913",0,0,,0,"29,913","29,913",,,"29,913",,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
121,25-26,,Feb,LAIPL/PO/25-26/111,Billed,,"124,372",0,"124,372","124,372",,"124,372",Aviral Residence,MR CHAIR,VEN-026,,"118,153","6,219",0,,0,"124,372","118,153","42,716","75,437",,,,,,,,,,,,95%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
122,25-26,,Feb,LAIPL/PO/25-26/112,Open,,"9,440",0,"9,440","9,440",,"9,440",Denton,Tespro Consultants,VEN-080,,"9,440",0,0,,0,"9,440","9,440","9,440",,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
123,25-26,,Mar,LAIPL/PO/25-26/114,Open,,"192,340",0,"192,340","192,340",,"192,340",,ROYAL FIRE SAFETY,VEN-056,,"182,184","10,156",0,,0,"192,340","182,184","150,000","30,000",,,,,,,,,,,"2,184",95%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
124,25-26,,Mar,LAIPL/PO/25-26/115,Open,,"6,217,692",0,"6,217,692","6,217,692",,"6,217,692",Co-offiz 2nd Floor,AR Concepts,VEN-083,,"6,217,692",0,0,,0,"6,217,692","6,217,692","6,165,000",,,,,,,,,,,,"52,692",100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
125,25-26,,Mar,LAIPL/PO/25-26/116,Open,,"700,000",0,"700,000","700,000",,"700,000",Denton link legal,Waves Enterprises,VEN-047,,"306,779","393,221",0,,0,"700,000","306,779","200,000",,"106,779",,,,,,,,,,,44%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
126,25-26,,Mar,LAIPL/PO/25-26/117,Draft,,"8,960",0,"8,960","8,960",,"8,960",Denton,Jitendra Sharma,VEN-081,,"8,960",0,0,,0,"8,960","8,960","8,960",,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
127,25-26,,Mar,LAIPL/PO/25-26/118,Billed,,"38,235",0,"38,235","38,235",,"38,235",Denton,VRITON FIRE PROTECTION,VEN-082,,"38,621",-386,0,,0,"38,235","38,621","38,621",,,,,,,,,,,,,101%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
128,25-26,,Mar,LAIPL/PO/25-26/119,Draft,,1,0,1,1,,1,,Nirman Power,VEN-048,,0,1,0,,0,1,0,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
129,25-26,,Jan,LAIPL/PO/25-26/121,Open,,"398,014",0,"398,014","398,014",,"398,014",Co-offiz Noida,MS Decor Film,VEN-003,,"120,610","277,404",0,,0,"398,014","120,610","120,610",,,,,,,,,,,,,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,25-26,,Apr,LAIPL/PO/25-26/125,Open,,"1,003,000",0,"1,003,000","1,003,000",,"1,003,000",Co-offiz Noida,Nirman Power,VEN-048,,"445,575","557,425",0,,0,"1,003,000","445,575","420,750",,,,,,,,,,,,"24,825",44%,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,25-26,,,LAIPL/PO/25-26/129,Open,,"303,030",0,"303,030","303,030",,"303,030",SRF School,Interio Mart,VEN-012,,"300,000","3,030",0,,0,"303,030","300,000","300,000",,,,,,,,,,,,,99%,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,25-26,,Apr,LAIPL/PO/25-26/130,Open,,"132,550",0,"132,550","132,550",,"132,550",Co-offiz Noida,Mr. Md Irfan Ahmad,VEN-040,,"60,000","72,550",0,,0,"132,550","60,000","60,000",,,,,,,,,,,,,45%,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,25-26,,Apr,LAIPL/PO/25-26/131,Open,,"6,478,739",0,"6,478,739","6,478,739",,"6,478,739",Cooffiz - 2nd & 3rd floor,BREEZ INC,VEN-059,,"5,248,709","1,230,030",0,,0,"6,478,739","5,248,709","901,328",,"1,542,670","238,313","2,500,000",,,,,,,,"66,398",81%,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,25-26,,Apr,LAIPL/PO/26-27/001,Open,,"21,240",0,"21,240","21,240",,"21,240",Cooffiz Noida,SPARKIN SUNLIT PRIVATE LIMITED,VEN-060,,"21,240",0,0,,0,"21,240","21,240","21,240",,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,25-26,,Apr,LAIPL/PO/26-27/002,Open,,"4,836,112",0,"4,836,112","4,836,112",,"4,836,112",Cooffiz - 2nd & 3rd Floor,SPS Associates,VEN-084,,"1,286,942","3,549,170",0,,0,"4,836,112","1,286,942","500,000","786,942",,,,,,,,,,,,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,25-26,,Apr,LAIPL/PO/26-27/003,Open,,"2,548,210",0,"2,548,210","2,548,210",,"2,548,210",Cooffiz Noida,Interio Mart,VEN-012,,"661,816","1,886,394",0,,0,"2,548,210","661,816",,"630,682",,,,,,,,,,,"31,134",26%,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,25-26,,Apr,LAIPL/PO/26-27/004,Open,,"486,750",0,"486,750","486,750",,"486,750",Co-offiz Noida,IMPERIAL INNOVATION,VEN-078,,"389,550","97,200",0,,0,"486,750","389,550","389,550",,,,,,,,,,,,,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,25-26,,Apr,LAIPL/PO/26-27/005,Open,,"354,944",0,"354,944","354,944",,"354,944",Co-offiz Noida,KAIN FURNITURE,VEN-085,,"319,450","35,494",0,,0,"354,944","319,450","50,000","269,450",,,,,,,,,,,,90%,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,25-26,,Apr,LAIPL/PO/26-27/007,Open,,"99,120",0,"99,120","99,120",,"99,120",Cooffiz Noida,S K ALUMINIUM & GLASS,VEN-050,,"49,560","49,560",0,,0,"99,120","49,560","49,560",,,,,,,,,,,,,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,25-26,,Apr,LAIPL/PO/26-27/008,Open,,"1,126,665",0,"1,126,665","1,126,665",,"1,126,665",Cooffiz - 2nd & 3rd Floor,Magnifyde Floorings Private Limited,VEN-052,,"563,332","563,333",0,,0,"1,126,665","563,332",,"563,332",,,,,,,,,,,,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,25-26,,Apr,LAIPL/PO/26-27/009,Open,,"283,200",0,"283,200","283,200",,"283,200",Cooffiz - 2nd & 3rd Floor,Poorvi Enterprises,VEN-011,,"283,200",0,0,,0,"283,200","283,200","283,200",,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,25-26,,Apr,LAIPL/PO/26-27/010,Open,,"352,149",0,"352,149","352,149",,"352,149",Cooffiz - 2nd & 3rd Floor,I-TECH SOLUTIONS,VEN-088,,"150,000","202,149",0,,0,"352,149","150,000","150,000",,,,,,,,,,,,,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,25-26,,Apr,LAIPL/PO/26-27/011,Open,,"888,528",0,"888,528","888,528",,"888,528",Cooffiz - 2nd & 3rd Floor,VEEVANS DZYN,VEN-033,,"251,928","636,600",0,,0,"888,528","251,928","118,649","133,279",,,,,,,,,,,,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,25-26,,May,LAIPL/PO/26-27/012,Open,,"84,262",0,"84,262","84,262",,"84,262",Cooffiz - 2nd & 3rd Floor,THE ELITE SURFACES,VEN-086,,"84,262",0,0,,0,"84,262","84,262","84,262",,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,25-26,,May,LAIPL/PO/26-27/013,Open,,"32,745",0,"32,745","32,745",,"32,745",Cooffiz - 2nd & 3rd Floor,N K Design Alliance,VEN-087,,"32,745",0,0,,0,"32,745","32,745","32,745",,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,25-26,,May,LAIPL/PO/26-27/014,Open,,"339,840",0,"339,840","339,840",,"339,840",Cooffiz - 2nd & 3rd Floor,VISTA FURNISHING LIMITED,VEN-055,,"169,920","169,920",0,,0,"339,840","169,920",,"166,522",,,,,,,,,,,"3,398",50%,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,25-26,,May,LAIPL/PO/26-27/015,Open,,"614,780",0,"614,780","614,780",,"614,780",Cooffiz Noida,RSV IDEES DESIGN INDIA PVT LTD,VEN-089,,"184,434","430,346",0,,0,"614,780","184,434",,"184,434",,,,,,,,,,,,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,25-26,,May,LAIPL/PO/26-27/016,Open,,"32,000",0,"32,000","32,000",,"32,000",Co-offiz Noida,Deepak Kumar,VEN-090,,"16,000","16,000",0,,0,"32,000","16,000","16,000",,,,,,,,,,,,,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,
